Exp.N,Hour,Treat,red.per
1,0,DMSO,0.003821497
1,2,DMSO,0.004733751
1,4,DMSO,0.005406077
1,6,DMSO,0.00565486
1,8,DMSO,0.005760481
1,10,DMSO,0.00607222
1,12,DMSO,0.00616759
1,14,DMSO,0.006217451
1,16,DMSO,0.006422699
1,18,DMSO,0.006743554
1,20,DMSO,0.006860093
1,22,DMSO,0.006951689
1,24,DMSO,0.007092679
1,26,DMSO,0.007380973
1,28,DMSO,0.00744472
1,30,DMSO,0.007469564
1,32,DMSO,0.00762741
1,34,DMSO,0.007864657
1,36,DMSO,0.008022337
1,38,DMSO,0.00839048
1,40,DMSO,0.008708109
1,42,DMSO,0.009120174
1,44,DMSO,0.009455677
1,46,DMSO,0.009703614
1,48,DMSO,0.010045265
1,50,DMSO,0.010385678
1,52,DMSO,0.01081153
1,54,DMSO,0.011025113
1,56,DMSO,0.011313092
1,58,DMSO,0.011756881
1,60,DMSO,0.012088898
1,62,DMSO,0.012429206
1,64,DMSO,0.012842051
1,66,DMSO,0.01328196
1,68,DMSO,0.013894165
1,70,DMSO,0.014342247
1,72,DMSO,0.014943404
1,74,DMSO,0.015503962
1,76,DMSO,0.015911205
1,78,DMSO,0.01652341
1,80,DMSO,0.016846544
1,82,DMSO,0.017454798
1,84,DMSO,0.017932305
1,86,DMSO,0.018621553
1,88,DMSO,0.019018023
1,90,DMSO,0.019453086
1,0,ETO 50uM,0.003342206
1,2,ETO 50uM,0.004174273
1,4,ETO 50uM,0.004811126
1,6,ETO 50uM,0.005155694
1,8,ETO 50uM,0.005566864
1,10,ETO 50uM,0.005686079
1,12,ETO 50uM,0.005946614
1,14,ETO 50uM,0.00634664
1,16,ETO 50uM,0.006434256
1,18,ETO 50uM,0.006723348
1,20,ETO 50uM,0.007277616
1,22,ETO 50uM,0.007526842
1,24,ETO 50uM,0.008026753
1,26,ETO 50uM,0.008534271
1,28,ETO 50uM,0.009134408
1,30,ETO 50uM,0.009429722
1,32,ETO 50uM,0.010049923
1,34,ETO 50uM,0.010798029
1,36,ETO 50uM,0.011712109
1,38,ETO 50uM,0.01278748
1,40,ETO 50uM,0.013834918
1,42,ETO 50uM,0.015185792
1,44,ETO 50uM,0.016556802
1,46,ETO 50uM,0.018690898
1,48,ETO 50uM,0.02085929
1,50,ETO 50uM,0.023139103
1,52,ETO 50uM,0.025449675
1,54,ETO 50uM,0.028106809
1,56,ETO 50uM,0.030681347
1,58,ETO 50uM,0.033988637
1,60,ETO 50uM,0.037239335
1,62,ETO 50uM,0.040216967
1,64,ETO 50uM,0.04349682
1,66,ETO 50uM,0.046692426
1,68,ETO 50uM,0.0499812
1,70,ETO 50uM,0.052743952
1,72,ETO 50uM,0.056240988
1,74,ETO 50uM,0.06015671
1,76,ETO 50uM,0.063847147
1,78,ETO 50uM,0.067610846
1,80,ETO 50uM,0.070870764
1,82,ETO 50uM,0.074347411
1,84,ETO 50uM,0.077075129
1,86,ETO 50uM,0.080847087
1,88,ETO 50uM,0.083499375
1,90,ETO 50uM,0.086983039
1,0,ETO 75uM,0.003286416
1,2,ETO 75uM,0.004194909
1,4,ETO 75uM,0.004860049
1,6,ETO 75uM,0.005109114
1,8,ETO 75uM,0.005287906
1,10,ETO 75uM,0.005677752
1,12,ETO 75uM,0.00611779
1,14,ETO 75uM,0.007084169
1,16,ETO 75uM,0.008700204
1,18,ETO 75uM,0.010211628
1,20,ETO 75uM,0.011496247
