patient,cBioPortal ID.1,PScore,CPT1AinhibUP,CPT1AinhibDN,Han_OxPhos_group,OxPhos,SCNA,GSDMD,GSDME,Immune_Subtype,Leukocyte_Fraction_PANCAN,Stromal_Fraction_PANCAN,Proliferation_PANCAN,Lymphocyte_Infiltration_Signature_Score_PANCAN,T_Cells_CD8_PANCAN
TCGA.V4.A9E8.01A.11R.A405.07,TCGA-V4-A9E8,0.078247385,0.132009497,0.048522274,unaltered,Unaltered,3,3542.34,542.758,C3,0.094941949,0.16,-1.8858,0.0151,0.136283172
TCGA.VD.A8KD.01A.11R.A405.07,TCGA-VD-A8KD,0.703724931,-0.057900897,0.389830173,altered_group1,OxPhos Low,3,2967.07,779.317,C3,0.196017276,0.17,-1.3454,1.6633,0.322636023
TCGA.VD.A8KK.01A.11R.A405.07,TCGA-VD-A8KK,0.065938398,-0.051024773,0.235629641,altered_group2,OxPhos High,3,4325.33,584.043,C3,0.027912073,0.03,-0.7876,-0.5391,0.089889184
TCGA.V4.A9ES.01A.11R.A405.07,TCGA-V4-A9ES,-0.11958577,0.246291794,-0.295488928,altered_group1,OxPhos Low,3,1348.25,1116.7,C4,0.010314955,0,-0.5067,-2.8826,0
TCGA.V4.A9EQ.01A.11R.A405.07,TCGA-V4-A9EQ,-0.219501588,0.083490257,0.16481234,altered_group2,OxPhos High,3,5483.66,700.968,C4,0.026109738,0.01,-1.2919,-1.4949,0
TCGA.V4.A9EO.01A.12R.A405.07,TCGA-V4-A9EO,-0.27139885,0.243442725,-0.072702474,altered_group1,OxPhos Low,3,2785.27,824.756,C4,0.017379983,0.02,-1.0548,-2.5721,0
TCGA.VD.A8KH.01A.11R.A405.07,TCGA-VD-A8KH,-0.065876658,0.22531339,0.132288132,altered_group1,OxPhos Low,3,2489.94,2360.57,C4,0.045733356,0.05,-1.0203,-2.3574,0
TCGA.WC.AA9A.01A.11R.A405.07,TCGA-WC-AA9A,-0.231152705,0.102682613,-0.182475324,altered_group1,OxPhos Low,3,2633.97,843.266,C4,0.005868645,0,-0.5351,-2.8403,0.019059075
TCGA.VD.A8KL.01A.11R.A405.07,TCGA-VD-A8KL,-0.459251088,0.032676965,-0.115423203,altered_group2,OxPhos High,3,3795.8,477.805,C4,0.016217476,0.02,-1.2685,-2.1513,0.018855691
TCGA.V4.A9EF.01A.21R.A405.07,TCGA-V4-A9EF,-0.15109746,0.010749971,-0.196340435,altered_group2,OxPhos High,3,4309.75,818.287,C4,0.018500164,0.03,-1.0873,-1.6733,0.088062851
TCGA.VD.A8KF.01A.11R.A405.07,TCGA-VD-A8KF,0.287342161,-0.043643012,0.051937346,altered_group1,OxPhos Low,3,1616.68,1737.25,C4,0.024269034,0,-1.2646,-1.5246,0.079367835
TCGA.VD.AA8T.01A.11R.A405.07,TCGA-VD-AA8T,-0.073782452,-0.084803147,0.095290765,altered_group1,OxPhos Low,3,2936.89,769.314,C4,0.019250055,0.02,-1.932,-1.9084,0.141472007
TCGA.YZ.A985.01A.11R.A405.07,TCGA-YZ-A985,-0.437797112,-0.148657183,-0.523147962,altered_group2,OxPhos High,3,1195.58,1031.11,C4,0.016317967,0.01,-1.337,-1.8135,0.064862849
TCGA.YZ.A984.01A.11R.A405.07,TCGA-YZ-A984,-0.336491533,-0.209716582,-0.138271284,altered_group2,OxPhos High,3,3501.74,394.34,C3,0.024665315,0.07,-1.677,-1.7859,0.002201216
TCGA.V4.A9F8.01A.11R.A405.07,TCGA-V4-A9F8,-0.14513182,-0.254359352,-0.062444503,altered_group2,OxPhos High,3,4494.42,498.712,C3,0.022781981,0,-1.1595,-1.5553,0.058799329
TCGA.YZ.A980.01A.11R.A405.07,TCGA-YZ-A980,-0.142452695,-0.309005441,0.004092839,altered_group1,OxPhos Low,3,2132.35,750.103,C3,0.043189661,0.54,-1.2272,-1.5197,0.131041794
TCGA.V4.A9ED.01A.11R.A405.07,TCGA-V4-A9ED,0.122862117,-0.350899561,-0.088216723,altered_group2,OxPhos High,3,2193.63,612.122,C3,0.045010146,0.08,-1.6065,-0.7772,0.190737089
TCGA.VD.A8KN.01A.11R.A405.07,TCGA-VD-A8KN,0.56270993,-0.385583485,0.272891596,altered_group1,OxPhos Low,4,3308.94,522.866,C3,0.079269713,0.09,-1.0446,-0.0881,0.220367779
TCGA.VD.A8KM.01A.11R.A405.07,TCGA-VD-A8KM,0.71348647,0.298184838,0.438952658,unaltered,Unaltered,4,5151.64,769.767,C3,0.500115614,0.54,-1.0392,2.5449,0.28691544
TCGA.V4.A9E7.01A.11R.A405.07,TCGA-V4-A9E7,-0.427509294,0.346577851,0.031926436,altered_group2,OxPhos High,4,3234.87,728.841,C4,0.010458596,0,-0.7589,-2.6801,0.015677622
TCGA.V4.A9EU.01A.11R.A405.07,TCGA-V4-A9EU,0.379330412,-0.338570778,0.209068151,altered_group1,OxPhos Low,4,3521.1,557.309,C3,0.04106746,0.03,-1.0071,-1.4299,0.067985071
TCGA.V4.A9EV.01A.11R.A405.07,TCGA-V4-A9EV,0.760103899,-0.13157344,0.242869703,altered_group1,OxPhos Low,4,4891.56,579.006,C3,0.278677954,0.25,-1.2695,1.106,0.315355743
TCGA.VD.AA8N.01A.11R.A405.07,TCGA-VD-AA8N,0.274828487,-0.066234866,0.356823086,altered_group2,OxPhos High,4,3036.4,444.444,C3,0.134306698,0.18,-1.3216,0.0127,0.214543416
TCGA.V4.A9F3.01A.11R.A405.07,TCGA-V4-A9F3,0.722565904,-0.060905701,0.358108301,altered_group1,OxPhos Low,4,3169.34,491.544,C3,0.283276682,0.28,-0.6274,0.8235,0.504237808
TCGA.V4.A9EX.01A.11R.A405.07,TCGA-V4-A9EX,0.052073502,-0.019470432,0.159241362,altered_group1,OxPhos Low,4,3398.54,645.398,C4,0.047326317,0.07,-0.4604,-1.7809,0.016603128
TCGA.V4.A9EL.01A.11R.A405.07,TCGA-V4-A9EL,0.694292918,-0.013626137,0.216387596,altered_group1,OxPhos Low,4,7199.11,503.218,C4,0.134331531,0.14,-0.6437,0.4896,0.354355661
TCGA.WC.A87Y.01A.11R.A405.07,TCGA-WC-A87Y,0.467092624,-0.011681244,0.283129008,altered_group1,OxPhos Low,4,2387.21,1074.76,C3,0.281225759,0.3,-1.728,0.1019,0.448675627
TCGA.WC.A883.01A.12R.A405.07,TCGA-WC-A883,-0.262235274,0.048942059,0.383791125,altered_group2,OxPhos High,4,4818.28,1328.95,C4,0.066903363,0.08,-0.0889,-1.6959,0.005776615
TCGA.VD.A8K8.01A.11R.A405.07,TCGA-VD-A8K8,0.655889195,0.075965919,0.212221492,altered_group1,OxPhos Low,4,3971.03,444.25,C3,0.104013337,0.07,-0.8612,0.2271,0.493575116
TCGA.V4.A9EE.01A.11R.A405.07,TCGA-V4-A9EE,0.330011786,0.106972671,0.336245321,altered_group1,OxPhos Low,4,2176.68,787.852,C4,0.119831156,0.08,-0.4645,-0.6484,0.249817956
TCGA.V3.A9ZX.01A.11R.A405.07,TCGA-V3-A9ZX,0.428847402,0.198275126,0.154173727,altered_group1,OxPhos Low,4,4456.99,621.918,C3,0.188621118,0.17,-0.4535,0.1246,0.323848178
TCGA.WC.A88A.01A.11R.A405.07,TCGA-WC-A88A,-0.081262563,0.056241744,-0.189195788,altered_group2,OxPhos High,4,2451.49,1549.75,C4,0.027775968,0.06,-1.0726,-1.5543,0.117068637
TCGA.RZ.AB0B.01A.11R.A405.07,TCGA-RZ-AB0B,-0.01875334,0.045272547,0.152952519,altered_group1,OxPhos Low,4,3578.14,441.267,C3,0.046279324,0.07,-0.7112,-1.4333,0.009291547
TCGA.V4.A9F1.01A.11R.A405.07,TCGA-V4-A9F1,0.274762795,0.219563184,0.43535582,altered_group1,OxPhos Low,4,2383.7,1058.15,C4,0.114809601,0.11,-0.6648,-1.8323,0.045880331
TCGA.V4.A9EI.01A.11R.A405.07,TCGA-V4-A9EI,0.221420569,0.294194532,0.198128538,altered_group1,OxPhos Low,4,4293.35,434.177,C4,0.060905007,0.07,-0.2344,-1.4434,0.094066431
TCGA.VD.A8KI.01A.11R.A405.07,TCGA-VD-A8KI,-0.247573764,-0.212266742,-0.000384858,altered_group2,OxPhos High,4,4926.8,693.25,C4,0.040535622,0.05,-1.1755,-0.9913,0.403054485
TCGA.V4.A9F5.01A.11R.A405.07,TCGA-V4-A9F5,-0.019296502,0.330132088,0.368753218,altered_group2,OxPhos High,4,4792.47,570.076,C4,0.011101958,0,-1.068,-2.4776,0
