Exp.N,Hour,Treat,red.per,Cells
2,44,siControl,0.020040394,MP65
2,46,siControl,0.020396026,MP65
2,48,siControl,0.020994716,MP65
2,50,siControl,0.021284825,MP65
2,52,siControl,0.021505041,MP65
2,54,siControl,0.021921003,MP65
2,56,siControl,0.022615894,MP65
2,58,siControl,0.022674191,MP65
2,60,siControl,0.023037373,MP65
2,62,siControl,0.023670399,MP65
2,64,siControl,0.023856407,MP65
2,66,siControl,0.02443171,MP65
2,68,siControl,0.025267081,MP65
2,70,siControl,0.025465628,MP65
2,72,siControl,0.026335863,MP65
2,0,siCPT1A #1,0.011228536,MP65
2,2,siCPT1A #1,0.011446533,MP65
2,4,siCPT1A #1,0.012713114,MP65
2,6,siCPT1A #1,0.014405183,MP65
2,8,siCPT1A #1,0.016401028,MP65
2,10,siCPT1A #1,0.018613337,MP65
2,12,siCPT1A #1,0.019981293,MP65
2,14,siCPT1A #1,0.021591428,MP65
2,16,siCPT1A #1,0.023224923,MP65
2,18,siCPT1A #1,0.024605197,MP65
2,20,siCPT1A #1,0.025726843,MP65
2,22,siCPT1A #1,0.027143985,MP65
2,24,siCPT1A #1,0.028735769,MP65
2,26,siCPT1A #1,0.029620862,MP65
2,28,siCPT1A #1,0.031100894,MP65
2,30,siCPT1A #1,0.032924324,MP65
2,32,siCPT1A #1,0.033751666,MP65
2,34,siCPT1A #1,0.034961085,MP65
2,36,siCPT1A #1,0.036305174,MP65
2,38,siCPT1A #1,0.037593358,MP65
2,40,siCPT1A #1,0.038891937,MP65
2,42,siCPT1A #1,0.039846638,MP65
2,44,siCPT1A #1,0.040841978,MP65
2,46,siCPT1A #1,0.041559997,MP65
2,48,siCPT1A #1,0.042820608,MP65
2,50,siCPT1A #1,0.043856116,MP65
2,52,siCPT1A #1,0.044418944,MP65
2,54,siCPT1A #1,0.045215562,MP65
2,56,siCPT1A #1,0.045818474,MP65
2,58,siCPT1A #1,0.046579258,MP65
2,60,siCPT1A #1,0.047521355,MP65
2,62,siCPT1A #1,0.047816805,MP65
2,64,siCPT1A #1,0.048746769,MP65
2,66,siCPT1A #1,0.04942536,MP65
2,68,siCPT1A #1,0.050276357,MP65
2,70,siCPT1A #1,0.050879362,MP65
2,72,siCPT1A #1,0.051379439,MP65
2,0,siCPT1A #2,0.012082341,MP65
2,2,siCPT1A #2,0.012028082,MP65
2,4,siCPT1A #2,0.012741657,MP65
2,6,siCPT1A #2,0.01435729,MP65
2,8,siCPT1A #2,0.016092993,MP65
2,10,siCPT1A #2,0.019029484,MP65
2,12,siCPT1A #2,0.022884889,MP65
2,14,siCPT1A #2,0.02644111,MP65
2,16,siCPT1A #2,0.030760961,MP65
2,18,siCPT1A #2,0.035064669,MP65
2,20,siCPT1A #2,0.038656845,MP65
2,22,siCPT1A #2,0.041960371,MP65
2,24,siCPT1A #2,0.045793294,MP65
2,26,siCPT1A #2,0.048027327,MP65
2,28,siCPT1A #2,0.050817064,MP65
2,30,siCPT1A #2,0.053126137,MP65
2,32,siCPT1A #2,0.054645625,MP65
2,34,siCPT1A #2,0.055259478,MP65
2,36,siCPT1A #2,0.057224646,MP65
2,38,siCPT1A #2,0.05831651,MP65
2,40,siCPT1A #2,0.059583959,MP65
2,42,siCPT1A #2,0.06055739,MP65
2,44,siCPT1A #2,0.061329752,MP65
2,46,siCPT1A #2,0.061210616,MP65
2,48,siCPT1A #2,0.06293425,MP65
2,50,siCPT1A #2,0.062570986,MP65
2,52,siCPT1A #2,0.063121543,MP65
2,54,siCPT1A #2,0.062925583,MP65
2,56,siCPT1A #2,0.063967596,MP65
2,58,siCPT1A #2,0.064398481,MP65
2,60,siCPT1A #2,0.06498247,MP65
2,62,siCPT1A #2,0.065505102,MP65
2,64,siCPT1A #2,0.066163873,MP65
2,66,siCPT1A #2,0.066631756,MP65
2,68,siCPT1A #2,0.067117298,MP65
2,70,siCPT1A #2,0.067089476,MP65
2,72,siCPT1A #2,0.067774618,MP65
3,0,siControl,0.002429156,MP65
3,2,siControl,0.002240737,MP65
3,4,siControl,0.00228046,MP65
