Exp.N,Hour,Treat,red.per,Cells
1,0,siControl,0.037234448,MP38
1,2,siControl,0.03668101,MP38
1,4,siControl,0.038092483,MP38
1,6,siControl,0.040104225,MP38
1,8,siControl,0.040639219,MP38
1,10,siControl,0.041339962,MP38
1,12,siControl,0.041598642,MP38
1,14,siControl,0.04230439,MP38
1,16,siControl,0.042758242,MP38
1,18,siControl,0.043234721,MP38
1,20,siControl,0.043893047,MP38
1,22,siControl,0.044963058,MP38
1,24,siControl,0.045542293,MP38
1,26,siControl,0.046373665,MP38
1,28,siControl,0.046536337,MP38
1,30,siControl,0.047114353,MP38
1,32,siControl,0.047975991,MP38
1,34,siControl,0.048524288,MP38
1,36,siControl,0.049445727,MP38
1,38,siControl,0.049958857,MP38
1,40,siControl,0.050450578,MP38
1,42,siControl,0.051308009,MP38
1,44,siControl,0.052407442,MP38
1,46,siControl,0.053048839,MP38
1,48,siControl,0.053813147,MP38
1,50,siControl,0.053919654,MP38
1,52,siControl,0.054355733,MP38
1,54,siControl,0.055045841,MP38
1,56,siControl,0.055939124,MP38
1,58,siControl,0.056938765,MP38
1,60,siControl,0.057587515,MP38
1,62,siControl,0.058514449,MP38
1,64,siControl,0.059285107,MP38
1,66,siControl,0.05996646,MP38
1,68,siControl,0.061066178,MP38
1,70,siControl,0.061456967,MP38
1,72,siControl,0.061836995,MP38
1,0,siCPT1A #1,0.03823263,MP38
1,2,siCPT1A #1,0.040111201,MP38
1,4,siCPT1A #1,0.044927719,MP38
1,6,siCPT1A #1,0.047884771,MP38
1,8,siCPT1A #1,0.051447483,MP38
1,10,siCPT1A #1,0.055368107,MP38
1,12,siCPT1A #1,0.05933612,MP38
1,14,siCPT1A #1,0.063074271,MP38
1,16,siCPT1A #1,0.067289381,MP38
1,18,siCPT1A #1,0.070345587,MP38
1,20,siCPT1A #1,0.072623703,MP38
1,22,siCPT1A #1,0.074461692,MP38
1,24,siCPT1A #1,0.077437712,MP38
1,26,siCPT1A #1,0.081998788,MP38
1,28,siCPT1A #1,0.084635922,MP38
1,30,siCPT1A #1,0.086373116,MP38
1,32,siCPT1A #1,0.088457245,MP38
1,34,siCPT1A #1,0.090759972,MP38
1,36,siCPT1A #1,0.092043041,MP38
1,38,siCPT1A #1,0.094718854,MP38
1,40,siCPT1A #1,0.095579842,MP38
1,42,siCPT1A #1,0.099008426,MP38
1,44,siCPT1A #1,0.099362132,MP38
1,46,siCPT1A #1,0.10157331,MP38
1,48,siCPT1A #1,0.103095416,MP38
1,50,siCPT1A #1,0.104359311,MP38
1,52,siCPT1A #1,0.106345038,MP38
1,54,siCPT1A #1,0.108349176,MP38
1,56,siCPT1A #1,0.110499867,MP38
1,58,siCPT1A #1,0.111769827,MP38
1,60,siCPT1A #1,0.113693027,MP38
1,62,siCPT1A #1,0.115885658,MP38
1,64,siCPT1A #1,0.117079764,MP38
1,66,siCPT1A #1,0.118721304,MP38
1,68,siCPT1A #1,0.120231977,MP38
1,70,siCPT1A #1,0.123294133,MP38
1,72,siCPT1A #1,0.124842652,MP38
1,0,siCPT1A #2,0.030312974,MP38
1,2,siCPT1A #2,0.030331157,MP38
1,4,siCPT1A #2,0.03234405,MP38
1,6,siCPT1A #2,0.035908312,MP38
1,8,siCPT1A #2,0.038116571,MP38
1,10,siCPT1A #2,0.040760522,MP38
1,12,siCPT1A #2,0.04315106,MP38
1,14,siCPT1A #2,0.045159495,MP38
1,16,siCPT1A #2,0.047576424,MP38
1,18,siCPT1A #2,0.048986438,MP38
1,20,siCPT1A #2,0.050746078,MP38
1,22,siCPT1A #2,0.05224697,MP38
1,24,siCPT1A #2,0.053172958,MP38
1,26,siCPT1A #2,0.05604367,MP38
1,28,siCPT1A #2,0.056754422,MP38
1,30,siCPT1A #2,0.057321392,MP38
1,32,siCPT1A #2,0.059381753,MP38
1,34,siCPT1A #2,0.06074284,MP38
1,36,siCPT1A #2,0.061729052,MP38
1,38,siCPT1A #2,0.062610286,MP38
1,40,siCPT1A #2,0.064011534,MP38
1,42,siCPT1A #2,0.064804899,MP38
1,44,siCPT1A #2,0.065582727,MP38
1,46,siCPT1A #2,0.067012132,MP38
1,48,siCPT1A #2,0.068884103,MP38
1,50,siCPT1A #2,0.069654214,MP38
1,52,siCPT1A #2,0.070400499,MP38
1,54,siCPT1A #2,0.071430816,MP38
1,56,siCPT1A #2,0.071962812,MP38
1,58,siCPT1A #2,0.074152478,MP38
1,60,siCPT1A #2,0.075402556,MP38
1,62,siCPT1A #2,0.076217227,MP38
1,64,siCPT1A #2,0.077773818,MP38
1,66,siCPT1A #2,0.077900946,MP38
1,68,siCPT1A #2,0.079456031,MP38
1,70,siCPT1A #2,0.080463105,MP38
1,72,siCPT1A #2,0.081160178,MP38
2,0,siControl,0.031773292,MP38
2,2,siControl,0.031853298,MP38
2,4,siControl,0.033148383,MP38
2,6,siControl,0.034363522,MP38
2,8,siControl,0.035368689,MP38
2,10,siControl,0.036212363,MP38
2,12,siControl,0.037203052,MP38
2,14,siControl,0.037845859,MP38
2,16,siControl,0.038260567,MP38
2,18,siControl,0.038855033,MP38
2,20,siControl,0.039683694,MP38
2,22,siControl,0.040966033,MP38
2,24,siControl,0.042751673,MP38
2,26,siControl,0.043393297,MP38
2,28,siControl,0.043892988,MP38
2,30,siControl,0.044425833,MP38
2,32,siControl,0.045530529,MP38
2,34,siControl,0.046792086,MP38
2,36,siControl,0.047456697,MP38
2,38,siControl,0.049100519,MP38
2,40,siControl,0.049871124,MP38
2,42,siControl,0.050731954,MP38
2,44,siControl,0.050976141,MP38
2,46,siControl,0.052748013,MP38
2,48,siControl,0.053315133,MP38
2,50,siControl,0.054074618,MP38
2,52,siControl,0.055115907,MP38
2,54,siControl,0.056154846,MP38
2,56,siControl,0.056906561,MP38
2,58,siControl,0.058016447,MP38
2,60,siControl,0.05883031,MP38
2,62,siControl,0.05946763,MP38
2,64,siControl,0.060222932,MP38
2,66,siControl,0.061432546,MP38
2,68,siControl,0.063031194,MP38
2,70,siControl,0.063201365,MP38
2,72,siControl,0.065662751,MP38
2,0,siCPT1A #1,0.035198221,MP38
2,2,siCPT1A #1,0.040499717,MP38
2,4,siCPT1A #1,0.047098481,MP38
2,6,siCPT1A #1,0.053359566,MP38
2,8,siCPT1A #1,0.059430439,MP38
2,10,siCPT1A #1,0.063418709,MP38
2,12,siCPT1A #1,0.066771783,MP38
2,14,siCPT1A #1,0.069767143,MP38
2,16,siCPT1A #1,0.072318771,MP38
2,18,siCPT1A #1,0.074596951,MP38
2,20,siCPT1A #1,0.077012469,MP38
2,22,siCPT1A #1,0.079331304,MP38
2,24,siCPT1A #1,0.083038785,MP38
2,26,siCPT1A #1,0.084646546,MP38
2,28,siCPT1A #1,0.086501279,MP38
2,30,siCPT1A #1,0.08787901,MP38
2,32,siCPT1A #1,0.090455198,MP38
2,34,siCPT1A #1,0.091769126,MP38
2,36,siCPT1A #1,0.093535709,MP38
2,38,siCPT1A #1,0.09584447,MP38
2,40,siCPT1A #1,0.096723144,MP38
2,42,siCPT1A #1,0.09886217,MP38
2,44,siCPT1A #1,0.10074537,MP38
2,46,siCPT1A #1,0.102510045,MP38
2,48,siCPT1A #1,0.103862285,MP38
2,50,siCPT1A #1,0.105143854,MP38
2,52,siCPT1A #1,0.107161225,MP38
2,54,siCPT1A #1,0.108938035,MP38
2,56,siCPT1A #1,0.109878299,MP38
2,58,siCPT1A #1,0.111470567,MP38
2,60,siCPT1A #1,0.112728476,MP38
2,62,siCPT1A #1,0.113923268,MP38
2,64,siCPT1A #1,0.115731064,MP38
2,66,siCPT1A #1,0.117312494,MP38
2,68,siCPT1A #1,0.118937198,MP38
2,70,siCPT1A #1,0.120902442,MP38
2,72,siCPT1A #1,0.122909205,MP38
2,0,siCPT1A #2,0.034535136,MP38
2,2,siCPT1A #2,0.034766744,MP38
2,4,siCPT1A #2,0.036688647,MP38
2,6,siCPT1A #2,0.038106759,MP38
2,8,siCPT1A #2,0.040389518,MP38
2,10,siCPT1A #2,0.042193658,MP38
2,12,siCPT1A #2,0.044111653,MP38
2,14,siCPT1A #2,0.046122254,MP38
2,16,siCPT1A #2,0.048254854,MP38
2,18,siCPT1A #2,0.050187639,MP38
2,20,siCPT1A #2,0.051648651,MP38
2,22,siCPT1A #2,0.053613178,MP38
2,24,siCPT1A #2,0.055242064,MP38
2,26,siCPT1A #2,0.055901455,MP38
2,28,siCPT1A #2,0.057612447,MP38
2,30,siCPT1A #2,0.059613401,MP38
2,32,siCPT1A #2,0.061240532,MP38
2,34,siCPT1A #2,0.062596421,MP38
2,36,siCPT1A #2,0.063751977,MP38
2,38,siCPT1A #2,0.065066378,MP38
2,40,siCPT1A #2,0.067175547,MP38
2,42,siCPT1A #2,0.06814669,MP38
2,44,siCPT1A #2,0.069507998,MP38
2,46,siCPT1A #2,0.071176143,MP38
2,48,siCPT1A #2,0.071689221,MP38
2,50,siCPT1A #2,0.072631584,MP38
2,52,siCPT1A #2,0.073571734,MP38
2,54,siCPT1A #2,0.075107456,MP38
2,56,siCPT1A #2,0.076364205,MP38
2,58,siCPT1A #2,0.077210367,MP38
2,60,siCPT1A #2,0.078041036,MP38
2,62,siCPT1A #2,0.078894982,MP38
2,64,siCPT1A #2,0.079509588,MP38
2,66,siCPT1A #2,0.080858776,MP38
2,68,siCPT1A #2,0.08150849,MP38
2,70,siCPT1A #2,0.082205064,MP38
2,72,siCPT1A #2,0.085057988,MP38
3,0,siControl,0.028432362,MP38
3,2,siControl,0.025611064,MP38
3,4,siControl,0.025766658,MP38
3,6,siControl,0.026163144,MP38
3,8,siControl,0.026646698,MP38
3,10,siControl,0.026829395,MP38
3,12,siControl,0.027174043,MP38
3,14,siControl,0.027449922,MP38
3,16,siControl,0.028047347,MP38
3,18,siControl,0.028707195,MP38
3,20,siControl,0.029144944,MP38
3,22,siControl,0.029629555,MP38
3,24,siControl,0.030640833,MP38
3,26,siControl,0.031600663,MP38
3,28,siControl,0.032671147,MP38
3,30,siControl,0.033461326,MP38
3,32,siControl,0.034092428,MP38
3,34,siControl,0.035083418,MP38
3,36,siControl,0.035733692,MP38
3,38,siControl,0.036935449,MP38
3,40,siControl,0.037508012,MP38
3,42,siControl,0.038324937,MP38
3,44,siControl,0.039421293,MP38
3,46,siControl,0.041056903,MP38
3,48,siControl,0.041469745,MP38
3,50,siControl,0.042146513,MP38
3,52,siControl,0.042867842,MP38
3,54,siControl,0.044519233,MP38
3,56,siControl,0.045058613,MP38
3,58,siControl,0.045685899,MP38
3,60,siControl,0.046443549,MP38
3,62,siControl,0.047106455,MP38
3,64,siControl,0.047921909,MP38
3,66,siControl,0.048838316,MP38
3,68,siControl,0.04958899,MP38
3,70,siControl,0.050111956,MP38
3,72,siControl,0.051779921,MP38
3,0,siCPT1A #1,0.035516329,MP38
3,2,siCPT1A #1,0.034972398,MP38
3,4,siCPT1A #1,0.041466228,MP38
3,6,siCPT1A #1,0.049270479,MP38
3,8,siCPT1A #1,0.055339605,MP38
3,10,siCPT1A #1,0.060370937,MP38
3,12,siCPT1A #1,0.064558402,MP38
3,14,siCPT1A #1,0.067817771,MP38
3,16,siCPT1A #1,0.070733446,MP38
3,18,siCPT1A #1,0.07427482,MP38
3,20,siCPT1A #1,0.077464869,MP38
3,22,siCPT1A #1,0.08008263,MP38
3,24,siCPT1A #1,0.08315244,MP38
3,26,siCPT1A #1,0.085089112,MP38
3,28,siCPT1A #1,0.087307893,MP38
3,30,siCPT1A #1,0.089748923,MP38
3,32,siCPT1A #1,0.092593944,MP38
3,34,siCPT1A #1,0.094261553,MP38
3,36,siCPT1A #1,0.096974462,MP38
3,38,siCPT1A #1,0.098994477,MP38
3,40,siCPT1A #1,0.101431358,MP38
3,42,siCPT1A #1,0.103425328,MP38
3,44,siCPT1A #1,0.105453573,MP38
3,46,siCPT1A #1,0.107242007,MP38
3,48,siCPT1A #1,0.110114522,MP38
3,50,siCPT1A #1,0.110747141,MP38
3,52,siCPT1A #1,0.113168515,MP38
3,54,siCPT1A #1,0.114153495,MP38
3,56,siCPT1A #1,0.116223095,MP38
3,58,siCPT1A #1,0.118712009,MP38
3,60,siCPT1A #1,0.120468064,MP38
3,62,siCPT1A #1,0.122605146,MP38
3,64,siCPT1A #1,0.123494783,MP38
3,66,siCPT1A #1,0.125422674,MP38
3,68,siCPT1A #1,0.1276578,MP38
3,70,siCPT1A #1,0.131104395,MP38
3,72,siCPT1A #1,0.134929142,MP38
3,0,siCPT1A #2,0.04776143,MP38
3,2,siCPT1A #2,0.045396226,MP38
3,4,siCPT1A #2,0.047421575,MP38
3,6,siCPT1A #2,0.049727113,MP38
3,8,siCPT1A #2,0.052656006,MP38
3,10,siCPT1A #2,0.05638086,MP38
3,12,siCPT1A #2,0.058599767,MP38
3,14,siCPT1A #2,0.061410192,MP38
3,16,siCPT1A #2,0.064524989,MP38
3,18,siCPT1A #2,0.067215611,MP38
3,20,siCPT1A #2,0.069348842,MP38
3,22,siCPT1A #2,0.072843815,MP38
3,24,siCPT1A #2,0.075117182,MP38
3,26,siCPT1A #2,0.076453982,MP38
3,28,siCPT1A #2,0.077776759,MP38
3,30,siCPT1A #2,0.07976728,MP38
3,32,siCPT1A #2,0.08061047,MP38
3,34,siCPT1A #2,0.081591989,MP38
3,36,siCPT1A #2,0.082801413,MP38
3,38,siCPT1A #2,0.08469835,MP38
3,40,siCPT1A #2,0.085498575,MP38
3,42,siCPT1A #2,0.086301776,MP38
3,44,siCPT1A #2,0.087394489,MP38
3,46,siCPT1A #2,0.088818333,MP38
3,48,siCPT1A #2,0.09023535,MP38
3,50,siCPT1A #2,0.09081997,MP38
3,52,siCPT1A #2,0.091664193,MP38
3,54,siCPT1A #2,0.092666287,MP38
3,56,siCPT1A #2,0.092739654,MP38
3,58,siCPT1A #2,0.093969352,MP38
3,60,siCPT1A #2,0.094768738,MP38
3,62,siCPT1A #2,0.095451919,MP38
3,64,siCPT1A #2,0.095797544,MP38
3,66,siCPT1A #2,0.097162079,MP38
3,68,siCPT1A #2,0.097625448,MP38
3,70,siCPT1A #2,0.097866283,MP38
3,72,siCPT1A #2,0.101066446,MP38
