N,HMGB1,siRNA,Treat,Group
1,0.618805633,Control,DMSO,DMSO_Control
1,0.345145522,siGSDME #4,DMSO,DMSO_siGSDME #4
1,1.267837819,siGSDME #18,DMSO,DMSO_siGSDME #18
1,2.075480137,Control,ETO,ETO_Control
1,0.394467622,siGSDME #4,ETO,ETO_siGSDME #4
1,0.687492251,siGSDME #18,ETO,ETO_siGSDME #18
2,0.213444826,Control,DMSO,DMSO_Control
2,0.893284502,siGSDME #4,DMSO,DMSO_siGSDME #4
2,0.148193251,siGSDME #18,DMSO,DMSO_siGSDME #18
2,2.375863237,Control,ETO,ETO_Control
2,0.713679451,siGSDME #4,ETO,ETO_siGSDME #4
2,1.044763718,siGSDME #18,ETO,ETO_siGSDME #18
3,0.387042093,Control,DMSO,DMSO_Control
3,0.57146745,siGSDME #4,DMSO,DMSO_siGSDME #4
3,0.4454065,siGSDME #18,DMSO,DMSO_siGSDME #18
3,1.714791667,Control,ETO,ETO_Control
3,1.057476978,siGSDME #4,ETO,ETO_siGSDME #4
3,1.213044298,siGSDME #18,ETO,ETO_siGSDME #18
